input_domain,stream_interaction,test_auc,test_average_precision
fourier,complex_only / holographic,0.6342382765288856,0.09162581335417219
fourier,complex_only / none,0.6615724793865657,0.10182017063480144
fourier,dual / holographic,0.6201924368168023,0.08432771570652005
fourier,dual / modulus_gate,0.6558776264783033,0.0993250182645245
fourier,dual / none,0.6166076072749085,0.08312166008049014
image,complex_only / holographic,0.6702128879846732,0.10317802976079264
image,complex_only / none,0.6817177190485143,0.10972770099828554
image,dual / holographic,0.73366620336798,0.13046186127095075
image,dual / modulus_gate,0.7246697877778673,0.12158488559030384
image,dual / none,0.7409360200180842,0.12955401363933924
