config_id,run_name,run_id,phase,domain,domain_code,pooling,normalization,convolution,activation,stream_interaction,stream_level,interaction_level,test_auc,test_ap,test_average_precision,auc_above_real,ap_above_real,quadrant_relative_to_real
complex_modrelu,complex_modrelu,phase1_1184439_1,phase1,Image,0,max,rms,standard,modrelu,complex_only / none,complex_only,none,0.7527059329089786,0.147575201034088,0.147575201034088,True,True,both_above
complex_modrelu_median_pool,complex_modrelu_median_pool,phase1_1184439_2,phase1,Image,0,median,rms,standard,modrelu,complex_only / none,complex_only,none,0.7283189643595734,0.09951787740890833,0.09951787740890833,True,False,auc_only
complex_modrelu_average_pool,complex_modrelu_average_pool,phase1_1184439_3,phase1,Image,0,average,rms,standard,modrelu,complex_only / none,complex_only,none,0.715588322187307,0.11190968306302387,0.11190968306302387,False,True,ap_only
cx_img_max_rms_std_single_none_magsilu,cx_img_max_rms_std_single_none_magsilu,phase1_1184439_4,phase1,Image,0,max,rms,standard,magnitude_silu,complex_only / none,complex_only,none,0.7553917223967985,0.13320486051693708,0.13320486051693708,True,True,both_above
cx_img_max_rms_std_single_none_crelu,cx_img_max_rms_std_single_none_crelu,phase1_1184439_5,phase1,Image,0,max,rms,standard,crelu,complex_only / none,complex_only,none,0.49599817366314825,0.04770315101072779,0.04770315101072779,False,False,neither
cx_img_max_rms_std_single_none_card,cx_img_max_rms_std_single_none_card,phase1_1184439_6,phase1,Image,0,max,rms,standard,cardioid,complex_only / none,complex_only,none,0.6234388848602046,0.07713042994867131,0.07713042994867131,False,False,neither
cx_img_max_rms_std_single_holo_modrelu,cx_img_max_rms_std_single_holo_modrelu,phase1_1184439_7,phase1,Image,0,max,rms,standard,modrelu,complex_only / holographic,complex_only,holographic,0.5951172347111433,0.08394387376464776,0.08394387376464776,False,False,neither
cx_img_max_rms_std_single_holo_magsilu,cx_img_max_rms_std_single_holo_magsilu,phase1_1184439_8,phase1,Image,0,max,rms,standard,magnitude_silu,complex_only / holographic,complex_only,holographic,0.6782424193591707,0.11444089539695539,0.11444089539695539,False,True,ap_only
cx_img_max_rms_std_single_holo_crelu,cx_img_max_rms_std_single_holo_crelu,phase1_1184439_9,phase1,Image,0,max,rms,standard,crelu,complex_only / holographic,complex_only,holographic,0.6683452850965541,0.10719916726810069,0.10719916726810069,False,True,ap_only
cx_img_max_rms_std_single_holo_card,cx_img_max_rms_std_single_holo_card,phase1_1184439_10,phase1,Image,0,max,rms,standard,cardioid,complex_only / holographic,complex_only,holographic,0.41917116536405874,0.04158893520724965,0.04158893520724965,False,False,neither
cx_img_max_rms_std_dual_none_modrelu,cx_img_max_rms_std_dual_none_modrelu,phase1_1184439_11,phase1,Image,0,max,rms,standard,modrelu,dual / none,dual,none,0.7647919856041683,0.15395807000195016,0.15395807000195016,True,True,both_above
cx_img_max_rms_std_dual_none_magsilu,cx_img_max_rms_std_dual_none_magsilu,phase1_1184439_12,phase1,Image,0,max,rms,standard,magnitude_silu,dual / none,dual,none,0.7471597776166304,0.10835900832465457,0.10835900832465457,True,True,both_above
cx_img_max_rms_std_dual_none_crelu,cx_img_max_rms_std_dual_none_crelu,phase1_1184439_13,phase1,Image,0,max,rms,standard,crelu,dual / none,dual,none,0.7561974592431445,0.1630979097222241,0.1630979097222241,True,True,both_above
cx_img_max_rms_std_dual_none_card,cx_img_max_rms_std_dual_none_card,phase1_1184439_14,phase1,Image,0,max,rms,standard,cardioid,dual / none,dual,none,0.7551097145005775,0.10526224688605655,0.10526224688605655,True,False,auc_only
cx_img_max_rms_std_dual_gate_modrelu,cx_img_max_rms_std_dual_gate_modrelu,phase1_1184439_15,phase1,Image,0,max,rms,standard,modrelu,dual / modulus_gate,dual,modulus_gate,0.7164477748234093,0.10792626155057222,0.10792626155057222,False,True,ap_only
cx_img_max_rms_std_dual_gate_magsilu,cx_img_max_rms_std_dual_gate_magsilu,phase1_1184439_16,phase1,Image,0,max,rms,standard,magnitude_silu,dual / modulus_gate,dual,modulus_gate,0.67452260091854,0.07056482280786738,0.07056482280786738,False,False,neither
