bin_left,bin_right,bin_center,image_count,fourier_count,image_density,fourier_density
0.34,0.36,0.35,1,0,0.208333333333334,0
0.36,0.38,0.37,0,0,0,0
0.38,0.40,0.39,0,0,0,0
0.40,0.42,0.41,2,0,0.416666666666667,0
0.42,0.44,0.43,0,0,0,0
0.44,0.46,0.45,1,0,0.208333333333333,0
0.46,0.48,0.47,0,0,0,0
0.48,0.50,0.49,1,0,0.208333333333333,0
0.50,0.52,0.51,1,3,0.208333333333333,0.624999999999999
0.52,0.54,0.53,0,7,0,1.45833333333333
0.54,0.56,0.55,1,11,0.208333333333333,2.29166666666666
0.56,0.58,0.57,2,14,0.416666666666669,2.91666666666668
0.58,0.60,0.59,2,20,0.416666666666666,4.16666666666666
0.60,0.62,0.61,6,37,1.25,7.70833333333333
0.62,0.64,0.63,8,30,1.66666666666667,6.24999999999999
0.64,0.66,0.65,15,35,3.125,7.29166666666666
0.66,0.68,0.67,20,34,4.16666666666666,7.08333333333333
0.68,0.70,0.69,17,16,3.54166666666668,3.33333333333335
0.70,0.72,0.71,34,12,7.08333333333333,2.5
0.72,0.74,0.73,33,18,6.87499999999999,3.75
0.74,0.76,0.75,54,3,11.25,0.624999999999999
0.76,0.78,0.77,26,0,5.41666666666666,0
0.78,0.80,0.79,15,0,3.125,0
0.80,0.82,0.81,1,0,0.208333333333334,0
