input_domain,n,mean,standard_deviation,median,q1,q3,iqr,min,max,auc_gt_real_baseline_n,auc_gt_real_baseline_pct
image,240,0.710240523639424,0.0665001110798441,0.725143018290226,0.68003854107915,0.754018612521151,0.0739800714420005,0.346446700507614,0.81622485429592,116,48.3333333333333
fourier,240,0.637697685297093,0.0536108121013372,0.63842559020224,0.602650874224478,0.671571589718798,0.0689207154943197,0.503692960545752,0.753377380280934,14,5.83333333333333

paired_comparison_metric,value
n_pairs,240
mean_paired_delta_auc,0.0725428383423307
sd_paired_delta_auc,0.0876697205739578
median_paired_delta_auc,0.0851663846587705
q1_paired_delta_auc,0.0199856310262402
q3_paired_delta_auc,0.132503424381597
iqr_paired_delta_auc,0.112517793355357
delta_auc_gt_zero_n,196
delta_auc_gt_zero_pct,81.6666666666667
wilcoxon_signed_rank_statistic,3471.5
wilcoxon_p_value_two_sided,1.86308260119983e-24
paired_rank_biserial_effect_size,0.759923928077455
