factor,level,n,mean_auc,median_auc,std_auc,iqr_auc,delta_vs_overall_complex_mean,plot_y
Pooling,max,160,0.6709638879,0.6742808799,0.0771517809,0.0957483952,-0.0030052166,0
Pooling,median,160,0.6729499872,0.6734214272,0.0702013336,0.1098286466,-0.0010191172,1
Pooling,average,160,0.6779934383,0.6785579996,0.0634991031,0.0988236242,0.0040243338,2
Normalization,RMSNorm,240,0.6629659005,0.6656527811,0.0759587305,0.1125110789,-0.0110032039,3
Normalization,complex BatchNorm,240,0.6849723084,0.6839497220,0.0626557429,0.0928376709,0.0110032039,4
Convolution,standard,240,0.6770848161,0.6782357049,0.0688338504,0.1043160637,0.0031157116,5
Convolution,widely linear,240,0.6708533928,0.6734952864,0.0719793683,0.1089456933,-0.0031157116,6
Activation,modReLU,120,0.6801616398,0.6835468536,0.0613625172,0.0916693525,0.0061925353,7
Activation,magnitude-gated SiLU,120,0.6712151071,0.6658139285,0.0694599207,0.1113125453,-0.0027539974,8
Activation,CReLU,120,0.6730643851,0.6755364865,0.0745170930,0.1110036795,-0.0009047194,9
Activation,cardioid,120,0.6714352859,0.6733677114,0.0759230796,0.1025434426,-0.0025338186,10
Stream/interaction,complex-only / none,96,0.6716450992,0.6763019365,0.0681105690,0.0873821610,-0.0023240053,11
Stream/interaction,complex-only / holographic,96,0.6522255823,0.6639338759,0.0761866527,0.0805065399,-0.0217435222,12
Stream/interaction,dual / none,96,0.6787718136,0.6779637687,0.0736308633,0.1330338678,0.0048027092,13
Stream/interaction,dual / modulus gate,96,0.6902737071,0.7027166761,0.0582114195,0.0857471866,0.0163046027,14
Stream/interaction,dual / holographic,96,0.6769293201,0.6853530470,0.0704694365,0.1199372868,0.0029602156,15
