factor,level,n,mean_auc,sd_auc,median_auc,iqr_auc,delta_vs_overall_complex_mean
Pooling,max,160,0.671,0.077,0.674,0.096,-0.003
Pooling,median,160,0.673,0.070,0.673,0.110,-0.001
Pooling,average,160,0.678,0.063,0.679,0.099,0.004
Normalization,RMSNorm,240,0.663,0.076,0.666,0.113,-0.011
Normalization,C-BatchNorm,240,0.685,0.063,0.684,0.093,0.011
Convolution,standard,240,0.677,0.069,0.678,0.104,0.003
Convolution,widely linear,240,0.671,0.072,0.673,0.109,-0.003
Activation,modReLU,120,0.680,0.061,0.684,0.092,0.006
Activation,Mag-SiLU,120,0.671,0.069,0.666,0.111,-0.003
Activation,CReLU,120,0.673,0.075,0.676,0.111,-0.001
Activation,cardioid,120,0.671,0.076,0.673,0.103,-0.003
Stream/interaction,C-only / none,96,0.672,0.068,0.676,0.087,-0.002
Stream/interaction,C-only / holo,96,0.652,0.076,0.664,0.081,-0.022
Stream/interaction,Dual / none,96,0.679,0.074,0.678,0.133,0.005
Stream/interaction,Dual / gate,96,0.690,0.058,0.703,0.086,0.016
Stream/interaction,Dual / holo,96,0.677,0.070,0.685,0.120,0.003
